2020-11-14 02:00:15.404080 - ['R', '-50'] - RecursionError
2020-11-15 22:32:15.843516 - ['4.732r', 'S'] - 550 °C(S)
2020-11-15 22:32:15.843615 - ['700', 'S'] - 6.275 mV(S)
2020-11-15 22:32:15.843718 - ['700.0t', 'S'] - 6.275 mV(S)
2020-11-15 22:32:15.843811 - ['6.275', 'S'] - 700 °C(S)
2020-11-15 22:32:15.843915 - ['6.275r', 'S'] - 700 °C(S)
2020-11-15 22:32:15.844068 - ['850', 'S'] - 7.893 mV(S)
2020-11-15 22:32:15.844192 - ['850.0t', 'S'] - 7.893 mV(S)
2020-11-15 22:32:15.844287 - ['7.893', 'S'] - 850 °C(S)
2020-11-15 22:32:15.844394 - ['7.893r', 'S'] - 850 °C(S)
2020-11-15 22:32:15.844494 - ['1000', 'S'] - 9.587 mV(S)
2020-11-15 22:32:15.844598 - ['1000.0t', 'S'] - 9.587 mV(S)
2020-11-15 22:32:15.844691 - ['9.587', 'S'] - 1000 °C(S)
2020-11-15 22:32:15.844800 - ['9.587r', 'S'] - 1000 °C(S)
2020-11-15 22:32:15.844908 - ['1150', 'S'] - 11.351 mV(S)
2020-11-15 22:32:15.845012 - ['1150.0t', 'S'] - 11.351 mV(S)
2020-11-15 22:32:15.845107 - ['11.351', 'S'] - 1150 °C(S)
2020-11-15 22:32:15.845219 - ['11.351r', 'S'] - 1150 °C(S)
2020-11-15 22:32:15.845317 - ['1300', 'S'] - 13.159 mV(S)
2020-11-15 22:32:15.845422 - ['1300.0t', 'S'] - 13.159 mV(S)
2020-11-15 22:32:15.845516 - ['13.159', 'S'] - 1300 °C(S)
2020-11-15 22:32:15.845620 - ['13.159r', 'S'] - 1300 °C(S)
2020-11-15 22:32:15.845719 - ['1450', 'S'] - 14.978 mV(S)
2020-11-15 22:32:15.845823 - ['1450.0t', 'S'] - 14.978 mV(S)
2020-11-15 22:32:15.845922 - ['14.978', 'S'] - 1450 °C(S)
2020-11-15 22:32:15.846026 - ['14.978r', 'S'] - 1450 °C(S)
2020-11-15 22:32:15.846124 - ['1600', 'S'] - 16.777 mV(S)
2020-11-15 22:32:15.846227 - ['1600.0t', 'S'] - 16.777 mV(S)
2020-11-15 22:32:15.846321 - ['16.777', 'S'] - 1600 °C(S)
2020-11-15 22:32:15.846424 - ['16.777r', 'S'] - 1600 °C(S)
2020-11-15 22:32:15.846531 - ['1750', 'S'] - 18.503 mV(S)
2020-11-15 22:32:15.846636 - ['1750.0t', 'S'] - 18.503 mV(S)
2020-11-15 22:32:15.846729 - ['18.503', 'S'] - 1750 °C(S)
2020-11-15 22:32:15.846832 - ['18.503r', 'S'] - 1750 °C(S)
2020-11-15 22:32:15.847798 - ['250', 'B'] - 0.291 mV(B)
2020-11-15 22:32:15.847908 - ['250.0t', 'B'] - 0.291 mV(B)
2020-11-15 22:32:15.848005 - ['0.291', 'B'] - 252 °C(B)
2020-11-15 22:32:15.850865 - ['-210', 'J'] - -8.095 mV(J)
2020-11-15 22:32:15.850985 - ['-210.0t', 'J'] - -8.095 mV(J)
2020-11-15 22:32:15.851084 - ['-8.095', 'J'] - -210 °C(J)
2020-11-15 22:32:15.851191 - ['-8.095r', 'J'] - -210 °C(J)
2020-11-15 22:32:15.851293 - ['-60', 'J'] - -2.893 mV(J)
2020-11-15 22:32:15.851407 - ['-60.0t', 'J'] - -2.893 mV(J)
2020-11-15 22:32:15.851502 - ['-2.893', 'J'] - -60 °C(J)
2020-11-15 22:32:15.851608 - ['-2.893r', 'J'] - -60 °C(J)
2020-11-15 22:32:15.851708 - ['90', 'J'] - 4.726 mV(J)
2020-11-15 22:32:15.851813 - ['90.0t', 'J'] - 4.726 mV(J)
2020-11-15 22:32:15.851908 - ['4.726', 'J'] - 90 °C(J)
2020-11-15 22:32:15.852011 - ['4.726r', 'J'] - 90 °C(J)
2020-11-15 22:32:15.852112 - ['240', 'J'] - 13.0 mV(J)
2020-11-15 22:32:15.852217 - ['240.0t', 'J'] - 13.0 mV(J)
2020-11-15 22:32:15.852310 - ['13.0', 'J'] - 240 °C(J)
2020-11-15 22:32:15.852416 - ['13.0r', 'J'] - 240 °C(J)
2020-11-15 22:32:15.852517 - ['390', 'J'] - 21.297 mV(J)
2020-11-15 22:32:15.852622 - ['390.0t', 'J'] - 21.297 mV(J)
2020-11-15 22:32:15.852716 - ['21.297', 'J'] - 390 °C(J)
2020-11-15 22:32:15.852820 - ['21.297r', 'J'] - 390 °C(J)
2020-11-15 22:32:15.852921 - ['540', 'J'] - 29.647 mV(J)
2020-11-15 22:32:15.853026 - ['540.0t', 'J'] - 29.647 mV(J)
2020-11-15 22:32:15.853120 - ['29.647', 'J'] - 540 °C(J)
2020-11-15 22:32:15.853232 - ['29.647r', 'J'] - 540 °C(J)
2020-11-15 22:32:15.853334 - ['690', 'J'] - 38.512 mV(J)
2020-11-15 22:32:15.853439 - ['690.0t', 'J'] - 38.512 mV(J)
2020-11-15 22:32:15.853533 - ['38.512', 'J'] - 690 °C(J)
2020-11-15 22:32:15.853637 - ['38.512r', 'J'] - 690 °C(J)
2020-11-15 22:32:15.853735 - ['840', 'J'] - 48.074 mV(J)
2020-11-15 22:32:15.853840 - ['840.0t', 'J'] - 48.074 mV(J)
2020-11-15 22:32:15.853944 - ['48.074', 'J'] - 840 °C(J)
2020-11-15 22:32:15.854048 - ['48.074r', 'J'] - 840 °C(J)
2020-11-15 22:32:15.854147 - ['990', 'J'] - 57.36 mV(J)
2020-11-15 22:32:15.854251 - ['990.0t', 'J'] - 57.36 mV(J)
2020-11-15 22:32:15.854352 - ['57.36', 'J'] - 990 °C(J)
2020-11-15 22:32:15.854456 - ['57.36r', 'J'] - 990 °C(J)
2020-11-15 22:32:15.854557 - ['1140', 'J'] - 66.102 mV(J)
2020-11-15 22:32:15.854662 - ['1140.0t', 'J'] - 66.102 mV(J)
2020-11-15 22:32:15.854757 - ['66.102', 'J'] - 1140 °C(J)
2020-11-15 22:32:15.854861 - ['66.102r', 'J'] - 1140 °C(J)
2020-11-15 22:32:15.855764 - ['-250', 'T'] - -6.181 mV(T)
2020-11-15 22:32:15.855875 - ['-250.0t', 'T'] - -6.181 mV(T)
2020-11-15 22:32:15.855971 - ['-6.181', 'T'] - -250 °C(T)
2020-11-15 22:32:15.856076 - ['-6.181r', 'T'] - -250 °C(T)
2020-11-15 22:32:15.856180 - ['-195', 'T'] - -5.523 mV(T)
2020-11-15 22:32:15.856286 - ['-195.0t', 'T'] - -5.523 mV(T)
2020-11-15 22:32:15.856382 - ['-5.523', 'T'] - -195 °C(T)
2020-11-15 22:32:15.856488 - ['-5.523r', 'T'] - -195 °C(T)
2020-11-15 22:32:15.856591 - ['-120', 'T'] - -3.923 mV(T)
2020-11-15 22:32:15.856697 - ['-120.0t', 'T'] - -3.923 mV(T)
2020-11-15 22:32:15.856792 - ['-3.923', 'T'] - -120 °C(T)
2020-11-15 22:32:15.856896 - ['-3.923r', 'T'] - -120 °C(T)
2020-11-15 22:32:15.856999 - ['-45', 'T'] - -1.648 mV(T)
2020-11-15 22:32:15.857105 - ['-45.0t', 'T'] - -1.648 mV(T)
2020-11-15 22:32:15.857208 - ['-1.648', 'T'] - -45 °C(T)
2020-11-15 22:32:15.857315 - ['-1.648r', 'T'] - -45 °C(T)
2020-11-15 22:32:15.857415 - ['30', 'T'] - 1.196 mV(T)
2020-11-15 22:32:15.857522 - ['30.0t', 'T'] - 1.196 mV(T)
2020-11-15 22:32:15.857617 - ['1.196', 'T'] - 30 °C(T)
2020-11-15 22:32:15.857720 - ['1.196r', 'T'] - 30 °C(T)
2020-11-15 22:32:15.857819 - ['105', 'T'] - 4.513 mV(T)
2020-11-15 22:32:15.857924 - ['105.0t', 'T'] - 4.513 mV(T)
2020-11-15 22:32:15.858018 - ['4.513', 'T'] - 105 °C(T)
2020-11-15 22:32:15.858135 - ['4.513r', 'T'] - 105 °C(T)
2020-11-15 22:32:15.858235 - ['180', 'T'] - 8.237 mV(T)
2020-11-15 22:32:15.858348 - ['180.0t', 'T'] - 8.237 mV(T)
2020-11-15 22:32:15.858442 - ['8.237', 'T'] - 180 °C(T)
2020-11-15 22:32:15.858545 - ['8.237r', 'T'] - 180 °C(T)
2020-11-15 22:32:15.858645 - ['255', 'T'] - 12.293 mV(T)
2020-11-15 22:32:15.858750 - ['255.0t', 'T'] - 12.293 mV(T)
2020-11-15 22:32:15.858844 - ['12.293', 'T'] - 255 °C(T)
2020-11-15 22:32:15.858947 - ['12.293r', 'T'] - 255 °C(T)
2020-11-15 22:32:15.859047 - ['330', 'T'] - 16.624 mV(T)
2020-11-15 22:32:15.859152 - ['330.0t', 'T'] - 16.624 mV(T)
2020-11-15 22:32:15.859245 - ['16.624', 'T'] - 330 °C(T)
2020-11-15 22:32:15.859348 - ['16.624r', 'T'] - 330 °C(T)
2020-11-15 22:32:15.860280 - ['-200', 'E'] - -8.825 mV(E)
2020-11-15 22:32:15.860395 - ['-200.0t', 'E'] - -8.825 mV(E)
2020-11-15 22:32:15.860490 - ['-8.825', 'E'] - -200 °C(E)
2020-11-15 22:32:15.860600 - ['-8.825r', 'E'] - -200 °C(E)
2020-11-15 22:32:15.860705 - ['-100', 'E'] - -5.237 mV(E)
2020-11-15 22:32:15.860812 - ['-100.0t', 'E'] - -5.237 mV(E)
2020-11-15 22:32:15.860907 - ['-5.237', 'E'] - -100 °C(E)
2020-11-15 22:32:15.861047 - ['-5.237r', 'E'] - -100 °C(E)
2020-11-15 22:32:15.861219 - ['0', 'E'] - -0.0 mV(E)
2020-11-15 22:32:15.861327 - ['0.0t', 'E'] - -0.0 mV(E)
2020-11-15 22:32:15.861419 - ['-0.0', 'E'] - 0 °C(E)
2020-11-15 22:32:15.861521 - ['-0.0r', 'E'] - 0 °C(E)
2020-11-15 22:32:15.861621 - ['100', 'E'] - 6.319 mV(E)
2020-11-15 22:32:15.861726 - ['100.0t', 'E'] - 6.319 mV(E)
2020-11-15 22:32:15.861820 - ['6.319', 'E'] - 100 °C(E)
2020-11-15 22:32:15.861924 - ['6.319r', 'E'] - 100 °C(E)
2020-11-15 22:32:15.862025 - ['200', 'E'] - 13.421 mV(E)
2020-11-15 22:32:15.862129 - ['200.0t', 'E'] - 13.421 mV(E)
2020-11-15 22:32:15.862223 - ['13.421', 'E'] - 200 °C(E)
2020-11-15 22:32:15.862327 - ['13.421r', 'E'] - 200 °C(E)
2020-11-15 22:32:15.862428 - ['300', 'E'] - 21.036 mV(E)
2020-11-15 22:32:15.862532 - ['300.0t', 'E'] - 21.036 mV(E)
2020-11-15 22:32:15.862627 - ['21.036', 'E'] - 300 °C(E)
2020-11-15 22:32:15.862731 - ['21.036r', 'E'] - 300 °C(E)
2020-11-15 22:32:15.862835 - ['400', 'E'] - 28.946 mV(E)
2020-11-15 22:32:15.862940 - ['400.0t', 'E'] - 28.946 mV(E)
